nr,syllable,example_char,record_as
1,bi2,比,bi2.m4a
2,puê5,皮,puê5.m4a
3,bhi2,米,bhi2.m4a
4,mo5,毛,mo5.m4a
5,dou1,都,dou1.m4a
6,tai5,臺,tai5.m4a
7,ni5,年,ni5.m4a
8,lai5,來,lai5.m4a
9,ze1,書,ze1.m4a
10,cai3,菜,cai3.m4a
11,se6,士,se6.m4a
12,re2,爾,re2.m4a
13,go1,歌,go1.m4a
14,ko2,可,ko2.m4a
15,gho5,鵝,gho5.m4a
16,ngia2,雅,ngia2.m4a
17,hai2,海,hai2.m4a
18,i1,衣,i1.m4a
19,u1,汙,u1.m4a
20,a1,亞,a1.m4a
21,ia1,呀,ia1.m4a
22,ua1,娃,ua1.m4a
23,o1,窩,o1.m4a
24,io1,腰,io1.m4a
25,ê2,啞,ê2.m4a
26,uê1,鍋,uê1.m4a
27,e5,余,e5.m4a
28,ai1,哀,ai1.m4a
29,uai1,歪,uai1.m4a
30,oi5,鞋,oi5.m4a
31,ui1,威,ui1.m4a
32,ao1,歐,ao1.m4a
33,ou1,烏,ou1.m4a
34,iou1,夭,iou1.m4a
35,iu1,憂,iu1.m4a
36,in5,丸,in5.m4a
37,an6,噯,an6.m4a
38,ian5,營,ian5.m4a
39,uan1,鞍,uan1.m4a
40,ion5,羊,ion5.m4a
41,ên5,楹,ên5.m4a
42,en1,秧,en1.m4a
43,ain3,愛,ain3.m4a
44,oin5,閑,oin5.m4a
45,im1,音,im1.m4a
46,am1,庵,am1.m4a
47,iam1,淹,iam1.m4a
48,huam5,凡,huam5.m4a
49,ing1,因,ing1.m4a
50,ung1,溫,ung1.m4a
51,ang3,按,ang3.m4a
52,iang1,央,iang1.m4a
53,uang1,汪,uang1.m4a
54,ong1,翁,ong1.m4a
55,iong1,雍,iong1.m4a
56,êng1,英,êng1.m4a
57,lih8,裂,lih8.m4a
58,ah4,鴨,ah4.m4a
59,iah4,益,iah4.m4a
60,uah8,活,uah8.m4a
61,oh8,學,oh8.m4a
62,ioh4,約,ioh4.m4a
63,êh4,厄,êh4.m4a
64,oih8,狹,oih8.m4a
65,ib4,邑,ib4.m4a
66,ab8,盒,ab8.m4a
67,iab4,壓,iab4.m4a
68,huab4,法,huab4.m4a
69,ig4,乙,ig4.m4a
70,ug4,熨,ug4.m4a
71,ag4,惡,ag4.m4a
72,iag4,躍,iag4.m4a
73,uag8,獲,uag8.m4a
74,og4,屋,og4.m4a
75,iog8,育,iog8.m4a
76,êg8,液,êg8.m4a
77,si1,詩,si1.m4a
78,si2,死,si2.m4a
79,si3,世,si3.m4a
80,sih4,薛,sih4.m4a
81,si5,時,si5.m4a
82,si6,是,si6.m4a
83,si7,示,si7.m4a
84,sih8,蝕,sih8.m4a
